107	5907	7
124	5060	32
122	5599	0
112	5830	37
57	2739	3
109	9467	16
12	3470	3
666	3812	8
422	6291	10
101	6659	9
106	8954	18
3755	4021	41
1427	2968	4
14	5382	30
103	5458	38
22640	2192	8
360	7340	6
104	9667	6
120	4390	24
57	9619	29
321	7714	14
101	8076	29
103	9705	26
105	6923	22
2851	4145	15
19700	4850	16
14	7080	15
206	5947	8
269	1162	28
1	3333	21
103	4645	31
106	3832	16
110	8151	1
14	5035	22
108	6992	10
2819	4842	29
223	1921	4
12	5696	4
338	2660	15
645	9773	8
2112	7870	23
1076	6173	3
30514	2621	4
8998	7426	31
103	8865	14
110	1758	6
810	7245	26
115	8491	12
290	9259	16
23885	2578	5
8165	6135	25
7925	7253	1
102	4451	5
735	9757	11
5431	1297	36
101	7498	9
106	1496	1
105	1355	17
121	1634	10
23068	6152	12
12	486	6
206	8840	34
25186	8249	2
113	9439	11
205	3445	1
102	1377	13
102	5357	5
12	1997	24
515	2213	3
104	5858	9
556	4644	21
445	1760	28
103	1285	11
27283	7797	21
105	289	25
26615	2580	16
124	1564	25
12	5605	26
101	8114	36
102	7272	10
189	9906	6
1313	5654	9
9370	2123	22
107	3741	2
1787	7933	6
28703	1805	8
8583	4321	24
12	5120	6
102	9321	20
384	9241	11
127	7462	16
15874	9391	23
1083	4813	8
7605	3620	7
103	1694	44
109	3669	14
109	6167	4
219	6092	11
104	5732	31
102	553	25
17	8558	14
1782	4188	4
12080	7916	2
834	622	32
2911	3891	7
108	7193	10
2561	3732	10
14	9006	19
101	9714	44
228	2456	30
10324	9876	7
3596	5830	21
581	1467	21
28576	6636	16
208	8953	21
101	6211	11
30541	382	1
102	3181	4
5534	1928	13
1295	5980	4
14	1689	35
12	2319	19
18413	6935	13
4087	4353	10
11588	2092	3
155	5823	17
107	6486	14
121	2208	1
105	5903	9
9740	5096	30
809	4188	3
117	9033	14
1266	7243	15
147	7857	8
101	516	10
336	6538	5
219	8463	30
107	3248	14
12	3429	27
113	6587	13
104	4261	13
1227	9704	9
13	6167	7
279	6874	1
101	5413	10
105	3364	18
308	5805	17
9794	4651	34
784	656	22
1493	7858	10
105	2831	12
101	9511	13
22591	9047	1
4097	2890	3
344	3969	7
224	5585	14
1928	1204	1
27506	1377	3
12	9448	13
158	1502	5
110	7897	5
101	3042	15
12	8322	5
12	3078	17
3150	6841	7
104	2702	22
124	6011	9
895	6036	7
805	9809	1
364	255	3
149	3509	14
123	3644	20
483	1689	34
120	3047	15
15715	4184	21
12	8138	27
257	7152	2
102	2753	24
12	4003	15
733	8816	12
9817	2591	16
14	9357	31
1316	5115	0
101	5989	8
144	8710	0
103	5667	13
159	8002	34
1658	9621	23
2572	8641	28
102	1418	21
101	2906	32
2861	6337	23
2587	1588	33
522	5879	13
28443	69	20
2201	3165	16
102	7648	24
10160	7129	2
14	6686	36
253	3495	14
57	6548	17
272	5503	8
502	7524	3
105	1666	21
1839	3740	17
105	3142	12
12	2895	17
6733	1365	40
109	1439	19
143	3055	16
2716	5003	13
414	3336	2
384	4827	10
114	8483	16
368	9534	11
124	4722	11
31306	7983	5
119	974	10
14668	8517	28
2740	2864	1
126	3470	0
1853	1855	9
585	288	39
571	1739	20
12	2832	39
108	8476	3
28670	3386	6
1446	8833	4
101	162	5
2856	3360	37
225	5588	7
110	5244	19
1469	4505	9
14	3650	14
10252	353	10
111	2005	11
16690	3122	21
28608	8259	2
113	5555	19
299	6013	13
21051	2069	16
102	961	16
14260	412	1
4604	9909	26
2115	629	12
1161	6512	11
14	7076	14
11659	6448	11
14	7274	12
2802	7825	12
619	6878	3
41	853	5
103	6381	7
635	4630	14
8	31	29
2482	265	21
30572	2386	14
152	2935	14
24234	6158	14
2	3654	45
12	6819	2
12833	7232	1
355	3351	1
12	9806	2
114	4260	16
722	140	13
403	2710	18
6930	9580	7
107	9854	11
106	1022	10
1102	7907	2
15453	8299	13
101	3374	8
202	5302	12
14	5031	23
332	1642	10
150	6452	25
4588	5977	6
2079	553	43
1656	990	20
12	9231	20
165	3686	10
18603	8284	6
2	7696	20
306	2342	11
1206	2809	3
104	4384	10
2305	4568	7
23688	3770	12
344	3366	28
3124	8287	16
111	9948	6
1592	6075	33
835	8211	15
14	8769	24
20448	9540	25
162	7891	0
101	4521	15
